1.900, -3.612, 7.997, 7.997, 1295.100, 1127.600, 1826.000
1.800, -3.412, 7.997, 7.997, 1295.200, 1129.000, 1818.600
1.700, -3.211, 7.997, 7.997, 1297.400, 1134.900, 1809.700
1.600, -3.011, 7.997, 7.997, 1296.100, 1136.100, 1800.500
1.500, -2.811, 7.997, 7.997, 1297.300, 1138.400, 1793.400
1.400, -2.610, 7.997, 7.997, 1298.600, 1140.900, 1782.500
1.300, -2.411, 7.997, 7.997, 1298.800, 1143.000, 1772.800
1.200, -2.210, 7.997, 7.997, 1300.100, 1148.600, 1765.000
1.100, -2.010, 7.997, 7.997, 1300.500, 1150.900, 1755.800
1.000, -1.810, 7.997, 7.997, 1302.500, 1153.200, 1746.100
0.900, -1.610, 7.997, 7.997, 1304.000, 1156.100, 1738.400
0.800, -1.409, 7.997, 7.997, 1304.400, 1160.100, 1729.300
0.700, -1.209, 7.997, 7.997, 1305.100, 1165.900, 1719.500
0.600, -1.008, 7.997, 7.997, 1306.100, 1167.800, 1709.200
0.500, -0.810, 7.997, 7.997, 1306.200, 1175.600, 1703.800
0.400, -0.608, 7.997, 7.997, 1306.800, 1179.300, 1692.300
0.300, -0.409, 7.997, 7.997, 1307.100, 1185.400, 1682.100
0.200, -0.208, 7.997, 7.997, 1307.800, 1194.800, 1674.300
0.100, -0.007, 7.997, 7.997, 1308.200, 1213.400, 1665.400
0.000, -0.007, 7.997, 7.997, 1308.400, 1245.100, 1657.000
